window_id,day,window_start,window_end,role,window_demand,skills
W_2025-10-11_LAB_DAY,2025-10-11,07:30,15:30,labtech,1,lab:1
W_2025-10-11_RAD_DAY,2025-10-11,09:30,17:30,radiology,1,radiology:1
W_2025-10-12_NURSE_MORNING,2025-10-12,08:00,16:00,nurse,3,first_aid:1
W_2025-10-12_NURSE_EVENING,2025-10-12,16:00,22:00,nurse,2,first_aid:1
W_2025-10-12_NURSE_NIGHT_A,2025-10-12,22:00,23:30,nurse,2,first_aid:1
W_2025-10-13_NURSE_NIGHT_B,2025-10-13,00:30,06:30,nurse,1,first_aid:1
W_2025-10-12_ICU_MORNING,2025-10-12,08:00,16:00,icu_nurse,2,icu:1
W_2025-10-12_ICU_EVENING,2025-10-12,16:00,22:00,icu_nurse,1,icu:1
W_2025-10-12_ICU_NIGHT_A,2025-10-12,22:00,23:30,icu_nurse,1,icu:1
W_2025-10-13_ICU_NIGHT_B,2025-10-13,00:30,06:30,icu_nurse,1,icu:1
W_2025-10-12_DOCTOR_DAY,2025-10-12,08:00,18:00,doctor,2,emergency:1
W_2025-10-12_DOCTOR_EVENING,2025-10-12,14:00,22:00,doctor,1,emergency:1
W_2025-10-12_DOCTOR_NIGHT_A,2025-10-12,22:00,23:30,doctor,1,emergency:1
W_2025-10-13_DOCTOR_NIGHT_B,2025-10-13,00:30,06:30,doctor,1,emergency:1
W_2025-10-12_TRIAGE_PEAK,2025-10-12,10:00,18:00,triage,2,first_aid:1
W_2025-10-12_RECEP_DAY,2025-10-12,08:00,16:00,receptionist,1,admin:1
W_2025-10-12_RAD_DAY,2025-10-12,09:00,17:00,radiology,1,radiology:1
